"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"后台商城系统","商品模块","新增商品功能","0","0","9","0","0"
"后台商城系统","发放规则模块","新增发放规则","0","2","10","0","0"
"后台商城系统","图片库模块","删除图片功能","0","0","1","0","0"
"后台商城系统","图片库模块","编辑图片功能","0","0","1","0","0"
"后台商城系统","商品模块","","0","1","0","0","0"
"后台商城系统","图片库模块","查询图片功能","0","0","3","0","0"
"后台商城系统","图片库模块","新增图片功能","0","0","1","0","0"
"后台商城系统","发放规则模块","删除发放规则","0","0","1","0","0"
"后台商城系统","发放规则模块","编辑发放规则","0","0","1","0","0"
"后台商城系统","发放规则模块","查询发放规则","0","0","1","0","0"
"后台商城系统","商品模块","删除商品功能","0","1","0","0","0"
"后台商城系统","发放规则模块","发放规则的状态测试","0","0","1","0","0"
