"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 18:50:28 CST 2022","Wed Mar 02 18:50:33 CST 2022","4678","sc.goods","test_addgoods","Test_addgoods","","","新增商品流程","
        检验添加商品的流程测试
        :return:
        "
"passed","Wed Mar 02 18:43:06 CST 2022","Wed Mar 02 18:43:12 CST 2022","5079","sc.coupons","test_addcoupons","Test_addcoupons","","","新增规则的流程测试","
        新增发放规则的流程测试
        :return:
        "
"passed","Wed Mar 02 18:52:07 CST 2022","Wed Mar 02 18:52:12 CST 2022","5721","sc.goods","test_addgoods","Test_addgoods","","","针对商品数量的测试","
        针对价格输入进行测试
        :return:
        "
"passed","Wed Mar 02 18:56:04 CST 2022","Wed Mar 02 18:56:04 CST 2022","927","sc.picture","test_picture","Test_picture","","","删除图片流程","
        删除图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:55:35 CST 2022","Wed Mar 02 18:55:39 CST 2022","3519","sc.picture","test_picture","Test_picture","","","编辑图片流程","
        编辑图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:52:37 CST 2022","Wed Mar 02 18:52:43 CST 2022","5678","sc.goods","test_addgoods","Test_addgoods","","","针对商品数量的测试","
        针对价格输入进行测试
        :return:
        "
"broken","Wed Mar 02 18:48:05 CST 2022","Wed Mar 02 18:48:27 CST 2022","21340","sc.coupons","test_addcoupons","Test_addcoupons","","","多条规则组的流程测试","
        检测多条规组的流程测试(前端bug尚未改正)
        :return:
        "
"broken","Tue Mar 01 18:02:27 CST 2022","Tue Mar 01 18:02:27 CST 2022","0","sc.goods","test_goods","Test_goods","","","test_goods",""
"passed","Wed Mar 02 18:55:20 CST 2022","Wed Mar 02 18:55:21 CST 2022","1144","sc.picture","test_picture","Test_picture","","","通过图片分类查找图片","
        通过图片分类，进行查询图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:44:56 CST 2022","Wed Mar 02 18:45:09 CST 2022","13263","sc.coupons","test_addcoupons","Test_addcoupons","","","针对发放规则店铺的测试","
        针对不选择发放规则店铺的测试
        检验能否提交成功
        :return:
        "
"passed","Wed Mar 02 18:45:52 CST 2022","Wed Mar 02 18:45:59 CST 2022","6928","sc.coupons","test_addcoupons","Test_addcoupons","","","不同规则类型的流程1",""
"passed","Wed Mar 02 18:51:28 CST 2022","Wed Mar 02 18:51:33 CST 2022","5707","sc.goods","test_addgoods","Test_addgoods","","","针对商品数量的测试","
        针对价格输入进行测试
        :return:
        "
"passed","Wed Mar 02 18:54:32 CST 2022","Wed Mar 02 18:54:35 CST 2022","2887","sc.picture","test_picture","Test_picture","","","新增图片流程","
        添加图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:46:54 CST 2022","Wed Mar 02 18:46:59 CST 2022","5292","sc.coupons","test_addcoupons","Test_addcoupons","","","针对消费金额输入框的测试","
        针对达标期限输入框的测试
        :return:
        "
"passed","Wed Mar 02 18:44:15 CST 2022","Wed Mar 02 18:44:21 CST 2022","5180","sc.coupons","test_addcoupons","Test_addcoupons","","","针对发放规则名称的测试2","
        针对不填写发放规则的测试
        检验能否提交成功
        :return:
        "
"passed","Wed Mar 02 18:50:02 CST 2022","Wed Mar 02 18:50:03 CST 2022","1880","sc.coupons","test_coupons","Test_coupons","","","删除规则的流程测试","
        删除发放规则的测试
        :return:
        "
"passed","Wed Mar 02 18:47:14 CST 2022","Wed Mar 02 18:47:19 CST 2022","5391","sc.coupons","test_addcoupons","Test_addcoupons","","","针对消费金额输入框的测试","
        针对达标期限输入框的测试
        :return:
        "
"passed","Wed Mar 02 18:47:34 CST 2022","Wed Mar 02 18:47:40 CST 2022","5396","sc.coupons","test_addcoupons","Test_addcoupons","","","针对消费金额输入框的测试","
        针对达标期限输入框的测试
        :return:
        "
"passed","Wed Mar 02 18:49:43 CST 2022","Wed Mar 02 18:49:48 CST 2022","5528","sc.coupons","test_coupons","Test_coupons","","","编辑规则的流程测试","
        发放规则进行修改的测试
        :return:
        "
"passed","Wed Mar 02 18:51:47 CST 2022","Wed Mar 02 18:51:53 CST 2022","5756","sc.goods","test_addgoods","Test_addgoods","","","针对商品数量的测试","
        针对价格输入进行测试
        :return:
        "
"passed","Wed Mar 02 18:48:51 CST 2022","Wed Mar 02 18:48:53 CST 2022","1533","sc.coupons","test_coupons","Test_coupons","","","查询规则的流程测试","
        查询发放规则的测试
        查询条件：测试（名称）糖心关爱（店铺）进行中（状态）当前时间-两百年后（发放时间）
        :return:
        "
"passed","Tue Mar 01 18:02:22 CST 2022","Tue Mar 01 18:02:27 CST 2022","5523","sc.goods","test_addgoods","Test_addgoods","","","新增商品流程","
        检验添加商品的流程测试
        :return:
        "
"broken","Wed Mar 02 18:54:09 CST 2022","Wed Mar 02 18:54:19 CST 2022","10059","sc.goods","test_goods","Test_goods","","","删除商品的流程","
        删除商品的流程测试
        :return:
        "
"broken","Wed Mar 02 18:46:12 CST 2022","Wed Mar 02 18:46:28 CST 2022","15545","sc.coupons","test_addcoupons","Test_addcoupons","","","不同规则类型的流程2",""
"passed","Wed Mar 02 18:49:07 CST 2022","Wed Mar 02 18:49:28 CST 2022","20774","sc.coupons","test_coupons","Test_coupons","","","进行中的发放规则能否编辑或者删除","
        进行中的发放规则能否编辑或者删除
        :return:
        "
"passed","Wed Mar 02 18:45:25 CST 2022","Wed Mar 02 18:45:37 CST 2022","11836","sc.coupons","test_addcoupons","Test_addcoupons","","","针对发放规则时间的测试",""
"passed","Wed Mar 02 18:54:49 CST 2022","Wed Mar 02 18:54:50 CST 2022","1221","sc.picture","test_picture","Test_picture","","","全条件搜索查询图片","
        全条件输入，进行查询图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:52:57 CST 2022","Wed Mar 02 18:53:03 CST 2022","5764","sc.goods","test_addgoods","Test_addgoods","","","针对商品数量的测试","
        针对价格输入进行测试
        :return:
        "
"passed","Wed Mar 02 18:50:48 CST 2022","Wed Mar 02 18:50:54 CST 2022","5787","sc.goods","test_addgoods","Test_addgoods","","","针对商品标题的测试","
        针对商品标题的测试(前端未设定商品不可重复)
        :param name: 商品标题的不同输入
        :return:
        "
"passed","Wed Mar 02 18:44:35 CST 2022","Wed Mar 02 18:44:41 CST 2022","5299","sc.coupons","test_addcoupons","Test_addcoupons","","","针对发放规则内容的测试","
        针对规则内容的测试
        检验能否提交成功
        :return:
        "
"passed","Wed Mar 02 18:43:47 CST 2022","Wed Mar 02 18:44:00 CST 2022","13004","sc.coupons","test_addcoupons","Test_addcoupons","","","针对发放规则名称的测试1","
        针对规则名称的测试
        检验是否会重复
        :return:
        "
"passed","Wed Mar 02 18:55:05 CST 2022","Wed Mar 02 18:55:06 CST 2022","1016","sc.picture","test_picture","Test_picture","","","通过图片名称查询图片","
        通过搜索图片名称，进行查询图片的测试用例
        :return:
        "
"passed","Wed Mar 02 18:51:08 CST 2022","Wed Mar 02 18:51:14 CST 2022","5646","sc.goods","test_addgoods","Test_addgoods","","","针对商品标题的测试","
        针对商品标题的测试(前端未设定商品不可重复)
        :param name: 商品标题的不同输入
        :return:
        "
